X1,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,DIRECTION,INTERSECTION,STATE_ROUTE,LOCATION_TYPE,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_COND_1,LIGHTING,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,ALCOHOL_INVOLVED,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,CITY,lon,lat,geometry,city_new
8210,2018,6/28/18,2018-06-28T19:55:00Z,Thursday,WILLIAMS RD,QUILLA,N,N,NA,NA,4,0,1,A,3,C,D,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.618042,36.67336655,"c(-121.618042, 36.67336655)",Salinas
8211,2018,7/11/18,2018-07-11T08:49:00Z,Wednesday,IMJIN PKWY,3RD AV,W,N,NA,NA,4,0,1,A,8,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MARINA,-121.8060226,36.66678238,"c(-121.8060226, 36.66678238)",Marina
8212,2018,6/28/18,2018-06-28T16:28:00Z,Thursday,183,VILLA ST,W,N,183,H,3,0,1,A,9,D,C,A,H,A,N,N,N,N,N,0,1,0,0,0,0,0,0,0,SALINAS,-121.6657867,36.68128967,"c(-121.6657867, 36.68128967)",Salinas
8213,2018,6/30/18,2018-06-30T06:15:00Z,Saturday,SALINAS,WEST ALISAL ST,NA,Y,NA,NA,3,0,2,A,12,D,C,A,H,A,N,N,N,N,N,0,1,1,0,0,0,0,0,0,SALINAS,-121.6560287,36.67361832,"c(-121.6560287, 36.67361832)",Salinas
8214,2018,6/29/18,2018-06-29T12:55:00Z,Friday,ALTA ST,10TH ST,S,N,NA,NA,4,0,1,B,22,C,E,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,GONZALES,-121.4503555,36.51078796,"c(-121.4503555, 36.51078796)",Gonzales
8215,2018,7/16/18,2018-07-16T14:05:00Z,Monday,FAIRGROUND RD,CASA VERDE,NA,Y,NA,NA,4,0,1,A,12,A,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8624115,36.59508896,"c(-121.8624115, 36.59508896)",Monterey
8216,2018,7/9/18,2018-07-09T22:22:00Z,Monday,NORTH FREMONT ST,AIRPORT RD,E,N,NA,NA,4,0,1,A,4,C,C,A,H,C,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8588257,36.59664917,"c(-121.8588257, 36.59664917)",Monterey
8217,2018,7/11/18,2018-07-11T14:32:00Z,Wednesday,SOLEDAD DR,MAR VISTA DR,S,N,NA,NA,1,1,1,A,8,A,I,A,H,A,N,N,N,N,N,0,1,0,0,0,0,0,0,0,MONTEREY,-121.9095306,36.58872223,"c(-121.9095306, 36.58872223)",Monterey
8218,2018,7/23/18,2018-07-23T19:14:00Z,Monday,DEL MONTE BL,REINDOLLAR AV,S,N,NA,NA,4,0,1,A,3,F,A,A,H,A,N,N,Y,N,N,0,0,1,0,0,0,0,0,1,MARINA,-121.8064575,36.68023682,"c(-121.8064575, 36.68023682)",Marina
8219,2018,8/3/18,2018-08-03T09:18:00Z,Friday,PEARL ST,CORTES ST,NA,Y,NA,NA,4,0,1,A,9,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8892288,36.59785843,"c(-121.8892288, 36.59785843)",Monterey
