X1,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,DIRECTION,INTERSECTION,STATE_ROUTE,LOCATION_TYPE,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_COND_1,LIGHTING,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,ALCOHOL_INVOLVED,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,CITY,lon,lat,geometry,city_new
1,2013,1/8/13,2013-01-08T11:55:00Z,Tuesday,156,CASTROVILLE BL,W,N,156,H,3,0,1,A,1,E,I,A,H,A,N,N,N,N,Y,0,1,0,0,0,0,0,0,0,SALINAS,-121.7445816,36.7678488,"c(-121.7445816, 36.7678488)",Other Unincorporated
2,2013,1/3/13,2013-01-03T13:10:00Z,Thursday,101,5TH ST,N,N,101,H,3,0,2,A,8,E,I,A,H,A,N,N,N,N,N,0,1,1,0,0,0,0,0,0,GONZALES,-121.4423968,36.5185429,"c(-121.4423968, 36.5185429)",Other Unincorporated
3,2013,1/2/13,2013-01-02T10:40:00Z,Wednesday,ESPINOSA RD,RODGERS RD,W,N,NA,NA,4,0,1,A,5,A,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.7245722,36.7473207,"c(-121.7245722, 36.7473207)",Other Unincorporated
4,2013,1/5/13,2013-01-05T18:00:00Z,Saturday,1,RT 183,N,N,1,H,4,0,2,A,1,C,C,A,H,D,N,N,N,N,Y,0,0,2,0,0,0,0,0,0,CASTROVILLE,-121.7654644,36.7708056,"c(-121.7654644, 36.7708056)",Castroville
5,2013,1/14/13,2013-01-14T11:35:00Z,Monday,SAN JUAN RD,SAN MIGUEL CYN RD,W,N,NA,NA,3,0,2,A,9,E,C,A,H,A,N,N,N,N,N,0,1,1,0,0,0,0,0,0,ROYAL OAKS,-121.6947115,36.9014276,"c(-121.6947115, 36.9014276)",Royal Oake
6,2013,1/8/13,2013-01-08T17:42:00Z,Tuesday,101,DUNBARTON RD,NA,Y,101,I,4,0,3,A,9,D,C,A,H,D,N,N,N,N,N,0,0,3,0,0,0,0,0,0,SALINAS,-121.6346101,36.8450472,"c(-121.6346101, 36.8450472)",Other Unincorporated
7,2013,1/12/13,2013-01-12T16:30:00Z,Saturday,1,RT 183,NA,Y,1,I,3,0,4,A,9,A,C,A,H,A,N,N,N,N,N,0,1,3,0,0,0,0,0,0,CASTROVILLE,-121.7655785,36.7620546,"c(-121.7655785, 36.7620546)",Castroville
8,2013,1/14/13,2013-01-14T18:48:00Z,Monday,HALL RD,LAS LOMAS DR,W,N,NA,NA,4,0,2,A,3,C,C,A,H,C,N,N,N,N,N,0,0,2,0,0,0,0,0,0,ROYAL OAKS,-121.7337373,36.8653374,"c(-121.7337373, 36.8653374)",Royal Oake
9,2013,1/21/13,2013-01-21T15:50:00Z,Monday,SAN MIGUEL CANYON RD,CASTROVILLE BL,S,N,NA,NA,3,0,1,A,3,NA,NA,A,NA,NA,N,N,N,N,N,0,1,0,0,0,0,0,0,0,SALINAS,-121.671689,36.8082879,"c(-121.671689, 36.8082879)",Other Unincorporated
10,2013,1/8/13,2013-01-08T17:03:00Z,Tuesday,SAN MIGUEL CANYON RD,PRUNEDALE RD,W,N,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6657821,36.8015166,"c(-121.6657821, 36.8015166)",Other Unincorporated
11,2013,1/17/13,2013-01-17T12:20:00Z,Thursday,1,CARMEL HILLS DR,N,N,1,H,3,0,3,A,3,C,C,A,H,A,N,N,N,N,N,0,1,2,0,0,0,0,0,0,CARMEL,-121.909897,36.5479679,"c(-121.909897, 36.5479679)",Other Unincorporated
12,2013,4/13/13,2013-04-13T12:23:00Z,Saturday,101,THORNE RD,S,N,101,H,1,1,0,A,8,E,I,A,H,A,N,N,N,N,N,0,0,0,0,0,0,0,0,0,GREENFIELD,-121.2499829,36.3346113,"c(-121.2499829, 36.3346113)",Greenfield
13,2013,2/20/13,2013-02-20T09:58:00Z,Wednesday,BLANCO RD,COOPER RD,W,N,NA,NA,1,1,0,A,8,E,I,A,H,A,N,N,N,N,N,0,0,0,0,0,0,0,0,0,SALINAS,-121.7457935,36.6777869,"c(-121.7457935, 36.6777869)",Other Unincorporated
14,2013,3/29/13,2013-03-29T11:36:00Z,Friday,1,AGUAJITO RD,S,N,1,H,1,1,0,A,8,E,I,A,H,A,N,N,N,N,N,0,0,0,0,0,0,0,0,0,MONTEREY,-121.8834935,36.5861265,"c(-121.8834935, 36.5861265)",Monterey
15,2013,4/11/13,2013-04-11T08:42:00Z,Thursday,GONZALES RIVER RD,RIVER RD,E,N,NA,NA,1,1,0,A,8,F,A,A,H,A,N,N,N,N,N,0,0,0,0,0,0,0,0,0,GONZALES,-121.4655506,36.4888134,"c(-121.4655506, 36.4888134)",Other Unincorporated
16,2013,4/27/13,2013-04-27T19:35:00Z,Saturday,METZ RD,SPRECKELS RD,N,N,NA,NA,1,1,0,A,5,A,C,A,H,B,N,N,Y,N,N,0,0,0,0,0,0,0,1,0,KING CITY,-121.1691078,36.3117524,"c(-121.1691078, 36.3117524)",Other Unincorporated
17,2013,4/3/13,2013-04-03T06:46:00Z,Wednesday,101,ESPINOSA RD,NA,Y,101,I,1,1,1,A,9,D,C,A,D,B,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6572829,36.734805,"c(-121.6572829, 36.734805)",Other Unincorporated
18,2013,4/10/13,2013-04-10T07:51:00Z,Wednesday,PINE AV,19TH ST,W,N,NA,NA,1,1,0,A,10,G,B,C,H,A,Y,N,N,N,N,0,0,0,1,0,0,0,0,0,PACIFIC GROVE,-121.9208732,36.619398,"c(-121.9208732, 36.619398)",Pacific Grove
19,2013,4/4/13,2013-04-04T05:30:00Z,Thursday,101,MALLORY CANYON RD,N,N,101,H,1,1,2,A,9,D,C,A,D,D,N,N,N,N,N,0,1,1,0,0,0,0,0,0,SALINAS,-121.6398163,36.8147476,"c(-121.6398163, 36.8147476)",Other Unincorporated
20,2013,5/20/13,2013-05-20T21:44:00Z,Monday,SAN JUAN RD,DUNBARTON RD,W,N,NA,NA,1,1,0,A,1,E,I,A,D,D,N,N,N,N,Y,0,0,0,0,0,0,0,0,0,AROMAS,-121.6392679,36.854771,"c(-121.6392679, 36.854771)",Other Unincorporated
21,2013,5/16/13,2013-05-16T13:53:00Z,Thursday,SANBORN RD,ABBOTT ST,E,N,NA,NA,1,1,0,A,9,D,C,A,H,A,N,N,Y,Y,N,0,0,0,0,0,0,0,1,0,SALINAS,-121.6356454,36.6577431,"c(-121.6356454, 36.6577431)",Salinas
22,2013,7/18/13,2013-07-18T12:43:00Z,Thursday,25,RT 198,N,N,25,H,1,1,0,A,8,F,A,A,H,A,N,N,Y,N,N,0,0,0,0,0,0,0,1,0,KING CITY,-120.8573655,36.2095056,"c(-120.8573655, 36.2095056)",Other Unincorporated
23,2013,6/15/13,2013-06-15T13:55:00Z,Saturday,1,JETTY RD,S,N,1,H,1,1,3,A,9,F,A,A,H,A,N,N,Y,N,N,0,0,3,0,0,0,0,1,3,MOSS LANDING,-121.7853786,36.8117669,"c(-121.7853786, 36.8117669)",Moss Landing
24,2013,6/3/13,2013-06-04T01:00:00Z,Monday,1,PARTINGTON RIDGE RD,N,N,1,H,1,1,0,A,8,E,I,A,H,NA,N,N,N,N,Y,0,0,0,0,0,0,0,0,0,BIG SUR,-121.6900011,36.1727835,"c(-121.6900011, 36.1727835)",Big Sur
25,2013,8/10/13,2013-08-10T17:10:00Z,Saturday,101,CATTLEMEN RD,N,N,101,H,1,1,0,A,8,F,A,A,H,A,N,N,N,N,N,0,0,0,0,0,0,0,0,0,KING CITY,-120.9267855,36.0180965,"c(-120.9267855, 36.0180965)",Other Unincorporated
26,2013,10/17/13,2013-10-17T13:46:00Z,Thursday,WEST ROSSI ST,SANSOME ST,NA,Y,NA,NA,1,1,0,A,9,D,C,A,H,A,N,N,Y,N,N,0,0,0,0,0,0,0,1,0,SALINAS,-121.6584929,36.6827249,"c(-121.6584929, 36.6827249)",Salinas
27,2013,10/4/13,2013-10-04T19:39:00Z,Friday,NORTH MAIN ST,IRIS DR,S,N,NA,NA,1,1,0,A,11,G,B,D,H,C,Y,N,N,N,N,0,0,0,1,0,0,0,0,0,SALINAS,-121.6523613,36.6922249,"c(-121.6523613, 36.6922249)",Salinas
28,2013,10/30/13,2013-10-30T05:49:00Z,Wednesday,ABBOTT ST,HARRIS RD,N,N,NA,NA,1,1,0,A,11,G,B,E,H,D,Y,N,N,Y,N,0,0,0,1,0,0,0,0,0,SALINAS,-121.6181363,36.6490756,"c(-121.6181363, 36.6490756)",Salinas
29,2013,10/21/13,2013-10-21T06:40:00Z,Monday,101,UNDERWOOD RD,NA,Y,101,I,1,1,0,A,3,D,C,A,H,E,N,N,N,Y,N,0,0,0,0,0,0,0,0,0,GREENFIELD,-121.2138909,36.2982548,"c(-121.2138909, 36.2982548)",Other Unincorporated
30,2013,11/10/13,2013-11-10T22:10:00Z,Sunday,LIVE OAK RD,MCGINNIS RD,W,N,NA,NA,1,1,1,A,8,E,I,A,H,D,N,N,N,N,N,0,1,0,0,0,0,0,0,0,ROYAL OAKS,-121.7081115,36.853818,"c(-121.7081115, 36.853818)",Royal Oake
31,2013,1/28/13,2013-01-28T07:12:00Z,Monday,LIGHTHOUSE,HOFFMAN,E,N,NA,NA,2,0,1,A,3,C,E,A,H,A,N,N,Y,N,N,1,0,0,0,0,0,0,0,1,MONTEREY,-121.9016553,36.6135158,"c(-121.9016553, 36.6135158)",Monterey
32,2013,1/2/13,2013-01-02T09:40:00Z,Wednesday,198,NORTH FORK,E,N,198,H,4,0,1,A,3,E,I,A,H,A,N,N,N,Y,N,0,0,1,0,0,0,0,0,0,KING CITY,-120.6747768,36.1738021,"c(-120.6747768, 36.1738021)",Other Unincorporated
33,2013,2/9/13,2013-02-09T16:30:00Z,Saturday,68,RT 1,W,N,68,H,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,PEBBLE BEACH,-121.9130178,36.5754245,"c(-121.9130178, 36.5754245)",Pebble Beach
34,2013,1/16/13,2013-01-16T10:01:00Z,Wednesday,CASA VERDE,N FREMONT,S,N,NA,NA,3,0,1,A,17,D,G,A,H,A,N,Y,N,N,N,0,1,0,0,0,0,1,0,0,MONTEREY,-121.8626514,36.5962467,"c(-121.8626514, 36.5962467)",Monterey
35,2013,1/17/13,2013-01-17T07:53:00Z,Thursday,SANTA RITA ST,E BOLIVAR ST,NA,Y,NA,NA,4,0,1,A,10,G,B,B,H,A,Y,N,N,Y,N,0,0,1,0,1,0,0,0,0,SALINAS,-121.6535128,36.724995,"c(-121.6535128, 36.724995)",Salinas
36,2013,1/18/13,2013-01-18T18:44:00Z,Friday,DAVID,SPENCER,NA,Y,NA,NA,4,0,1,A,9,D,C,A,H,C,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.9079129,36.6151649,"c(-121.9079129, 36.6151649)",Monterey
37,2013,1/18/13,2013-01-18T15:38:00Z,Friday,PACIFIC,DEL MONTE,S,N,NA,NA,4,0,1,A,10,G,B,B,H,A,Y,N,N,N,N,0,0,1,0,1,0,0,0,0,MONTEREY,-121.8954674,36.6010816,"c(-121.8954674, 36.6010816)",Monterey
38,2013,1/21/13,2013-01-21T07:33:00Z,Monday,WASHING,E FRANKLIN,E,Y,NA,NA,4,0,1,A,10,G,B,B,H,A,Y,N,N,N,N,0,0,1,0,1,0,0,0,0,MONTEREY,-121.8925245,36.5996843,"c(-121.8925245, 36.5996843)",Monterey
39,2013,1/20/13,2013-01-20T16:17:00Z,Sunday,ATLANTIC ST,CARI CT,S,N,NA,NA,3,0,1,A,11,G,B,D,H,A,Y,N,N,N,N,0,1,0,0,1,0,0,0,0,SALINAS,-121.6150273,36.6900347,"c(-121.6150273, 36.6900347)",Salinas
40,2013,1/15/13,2013-01-15T15:25:00Z,Tuesday,BARDIN RD,ARGENTINE DR,NA,Y,NA,NA,4,0,1,A,5,D,G,A,H,A,N,Y,N,N,N,0,0,1,0,0,0,1,0,0,SALINAS,-121.6032028,36.6751249,"c(-121.6032028, 36.6751249)",Salinas
41,2013,1/18/13,2013-01-18T14:25:00Z,Friday,183,PAJARO ST,NA,Y,183,H,4,0,2,A,9,D,C,A,H,A,N,N,N,N,N,0,0,2,0,0,0,0,0,0,CASTROVILLE,-121.7539601,36.7627195,"c(-121.7539601, 36.7627195)",Castroville
42,2013,4/1/13,2013-04-01T13:21:00Z,Monday,TULANE ST,ADAMS ST,NA,Y,NA,NA,3,0,1,A,12,D,G,A,H,A,N,Y,N,N,N,0,1,0,0,0,0,1,0,0,SALINAS,-121.6630429,36.7005049,"c(-121.6630429, 36.7005049)",Salinas
43,2013,1/23/13,2013-01-23T12:22:00Z,Wednesday,EAST LAUREL DR,GRANADA AV,NA,Y,NA,NA,4,0,2,A,3,C,D,A,H,A,N,N,N,N,Y,0,0,2,0,0,0,0,0,0,SALINAS,-121.640513,36.696715,"c(-121.640513, 36.696715)",Salinas
44,2013,2/9/13,2013-02-09T16:26:00Z,Saturday,1,LIGHTFIGHTER DR,S,N,1,H,2,0,1,A,8,C,E,A,H,A,N,N,N,Y,N,1,0,0,0,0,0,0,0,0,SEASIDE,-121.8298569,36.6377127,"c(-121.8298569, 36.6377127)",Seaside
45,2013,2/14/13,2013-02-14T07:25:00Z,Thursday,68,SAN BENANCIO RD,W,N,68,H,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.7209555,36.5796983,"c(-121.7209555, 36.5796983)",Other Unincorporated
46,2013,2/7/13,2013-02-07T17:20:00Z,Thursday,183,BLACKIE RD,W,N,183,H,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,CASTROVILLE,-121.7482277,36.7584798,"c(-121.7482277, 36.7584798)",Castroville
47,2013,1/17/13,2013-01-17T12:45:00Z,Thursday,GEIL ST,SANCHEZ ST,N,N,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,CASTROVILLE,-121.7578381,36.7695808,"c(-121.7578381, 36.7695808)",Castroville
48,2013,1/31/13,2013-01-31T18:40:00Z,Thursday,CARMEL VALLEY RD,RANCHO FIESTA RD,W,N,NA,NA,3,0,2,A,1,C,C,A,H,D,N,N,N,N,Y,0,2,0,0,0,0,0,0,0,CARMEL VALLEY,-121.7752224,36.5138387,"c(-121.7752224, 36.5138387)",Carmel Valley
49,2013,2/6/13,2013-02-06T09:02:00Z,Wednesday,CARMEL VALLEY RD,CARMEL KNOLLS DR,NA,Y,NA,NA,2,0,2,A,12,D,C,A,H,A,N,N,N,N,N,1,0,1,0,0,0,0,0,0,CARMEL,-121.9048929,36.5437749,"c(-121.9048929, 36.5437749)",Other Unincorporated
50,2013,2/2/13,2013-02-02T21:19:00Z,Saturday,OLD STAGE RD,ENCINAL RD,W,N,NA,NA,3,0,1,A,1,E,I,A,H,D,N,N,N,N,Y,0,1,0,0,0,0,0,0,0,SALINAS,-121.5310402,36.6268264,"c(-121.5310402, 36.6268264)",Other Unincorporated
51,2013,1/28/13,2013-01-28T12:05:00Z,Monday,HITCHCOCK RD,DAVIS RD,E,N,NA,NA,3,0,1,A,8,F,A,A,H,A,N,N,N,Y,N,0,1,0,0,0,0,0,0,0,SALINAS,-121.6918942,36.6586286,"c(-121.6918942, 36.6586286)",Other Unincorporated
52,2013,1/17/13,2013-01-17T17:00:00Z,Thursday,SAN JUAN GRADE RD,RUSSELL RD,NA,Y,NA,NA,3,0,2,A,12,D,C,A,H,A,N,N,N,N,N,0,1,1,0,0,0,0,0,0,SALINAS,-121.6411029,36.730285,"c(-121.6411029, 36.730285)",Salinas
53,2013,2/2/13,2013-02-02T10:25:00Z,Saturday,IVERSON RD,JOHNSON CANYON RD,N,N,NA,NA,3,0,1,A,3,F,A,A,H,A,N,N,N,Y,N,0,1,0,0,0,0,0,0,0,GONZALES,-121.4180028,36.526555,"c(-121.4180028, 36.526555)",Other Unincorporated
54,2013,2/7/13,2013-02-07T08:05:00Z,Thursday,SAN MIGUEL CANYON RD,FORREST LN,NA,Y,NA,NA,4,0,1,A,9,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,ROYAL OAKS,-121.6783829,36.829515,"c(-121.6783829, 36.829515)",Royal Oake
55,2013,1/20/13,2013-01-20T19:11:00Z,Sunday,SOUTH SANBORN RD,MCGOWAN DR,NA,Y,NA,NA,1,1,1,NA,NA,D,C,A,H,C,N,N,N,N,N,1,0,0,0,0,0,0,0,0,SALINAS,-121.6277329,36.6708849,"c(-121.6277329, 36.6708849)",Salinas
56,2013,3/7/13,2013-03-07T09:08:00Z,Thursday,68,RAGSDALE,E,N,68,H,1,1,2,A,5,B,C,A,H,A,N,N,N,N,N,1,1,0,0,0,0,0,0,0,MONTEREY,-121.8185164,36.5731127,"c(-121.8185164, 36.5731127)",Monterey
57,2013,2/16/13,2013-02-16T19:27:00Z,Saturday,MUNRAS,EL DORADO,NA,Y,NA,NA,4,0,1,A,NA,G,B,E,H,C,Y,N,N,N,Y,0,0,1,0,1,0,0,0,0,MONTEREY,-121.8935029,36.592725,"c(-121.8935029, 36.592725)",Monterey
58,2013,3/7/13,2013-03-07T11:35:00Z,Thursday,DAVID,NEWTON,NA,Y,NA,NA,4,0,1,A,1,E,I,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.9111629,36.613615,"c(-121.9111629, 36.613615)",Monterey
59,2013,3/1/13,2013-03-01T16:24:00Z,Friday,LIGHTHOUSE,WASHINGTON,N,N,NA,NA,3,0,1,A,8,B,C,A,H,A,N,N,Y,N,N,0,1,0,0,0,0,0,0,1,MONTEREY,-121.8947435,36.6046242,"c(-121.8947435, 36.6046242)",Monterey
60,2013,3/1/13,2013-03-01T15:35:00Z,Friday,MONTEREY-SALINAS HWY,OLMSTED,W,N,NA,NA,4,0,2,A,3,C,C,A,H,A,N,N,N,N,N,0,0,2,0,0,0,0,0,0,MONTEREY,-121.8515687,36.5837451,"c(-121.8515687, 36.5837451)",Monterey
61,2013,1/19/13,2013-01-19T13:00:00Z,Saturday,SAND DUNES DR,WEST BAY AV,NA,Y,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SAND CITY,-121.852673,36.6144049,"c(-121.852673, 36.6144049)",Sand City
62,2013,2/27/13,2013-02-27T14:40:00Z,Wednesday,1,CASA VERDE WY,N,N,1,H,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8641075,36.5992514,"c(-121.8641075, 36.5992514)",Monterey
63,2013,3/1/13,2013-03-01T10:25:00Z,Friday,OLD STAGE RD,NATIVIDAD RD,S,N,NA,NA,4,0,1,A,5,B,C,A,H,A,N,N,N,Y,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6002182,36.7379385,"c(-121.6002182, 36.7379385)",Other Unincorporated
64,2013,3/2/13,2013-03-02T14:35:00Z,Saturday,101,DUNBARTON RD,S,N,101,H,4,0,1,A,8,E,I,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6336346,36.843363,"c(-121.6336346, 36.843363)",Other Unincorporated
65,2013,2/19/13,2013-02-19T20:18:00Z,Tuesday,101,ECHO VALLEY RD,N,N,101,H,4,0,1,A,5,A,C,A,D,D,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6300975,36.8219195,"c(-121.6300975, 36.8219195)",Other Unincorporated
66,2013,2/17/13,2013-02-17T18:22:00Z,Sunday,NORTH FREMONT,CASANOVA AV,W,N,NA,NA,3,0,1,A,1,C,C,A,H,C,N,N,N,N,Y,0,1,0,0,0,0,0,0,0,MONTEREY,-121.8535969,36.5976568,"c(-121.8535969, 36.5976568)",Monterey
67,2013,3/3/13,2013-03-03T01:55:00Z,Sunday,1,MARK THOMAS DR,W,N,1,R,3,0,2,A,1,F,A,A,H,C,N,N,N,N,Y,0,2,0,0,0,0,0,0,0,MONTEREY,-121.8707416,36.5943498,"c(-121.8707416, 36.5943498)",Monterey
68,2013,3/9/13,2013-03-09T09:35:00Z,Saturday,1,ATHERTON DR,S,N,1,H,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,CARMEL,-121.9094275,36.5455253,"c(-121.9094275, 36.5455253)",Other Unincorporated
69,2013,3/2/13,2013-03-02T15:10:00Z,Saturday,198,PEACH TREE RD,E,N,198,H,3,0,2,A,5,A,C,A,H,A,N,N,N,N,N,0,1,1,0,0,0,0,0,0,KING CITY,-120.7716599,36.1928572,"c(-120.7716599, 36.1928572)",Other Unincorporated
70,2013,3/9/13,2013-03-09T11:45:00Z,Saturday,HALL RD,SAN MIGUEL CANYON RD,NA,Y,NA,NA,2,0,3,A,12,A,C,A,H,A,N,N,N,N,N,1,0,2,0,0,0,0,0,0,ROYAL OAKS,-121.6952529,36.8592949,"c(-121.6952529, 36.8592949)",Royal Oake
71,2013,2/19/13,2013-02-19T07:55:00Z,Tuesday,NATIVIDAD RD,ROGGE RD,NA,Y,NA,NA,4,0,2,A,9,D,C,A,H,A,N,N,N,N,N,0,0,2,0,0,0,0,0,0,SALINAS,-121.6161229,36.728295,"c(-121.6161229, 36.728295)",Other Unincorporated
72,2013,3/8/13,2013-03-08T05:28:00Z,Friday,101,ECHO VALLEY RD,N,N,101,H,4,0,3,A,3,C,C,A,D,B,N,N,N,N,N,0,0,3,0,0,0,0,0,0,SALINAS,-121.6290847,36.8296688,"c(-121.6290847, 36.8296688)",Other Unincorporated
73,2013,2/5/13,2013-02-05T09:05:00Z,Tuesday,101,ESPINOSA RD,NA,Y,101,I,2,0,2,A,9,D,C,A,D,A,N,N,N,N,N,1,1,0,0,0,0,0,0,0,SALINAS,-121.6576281,36.7363883,"c(-121.6576281, 36.7363883)",Other Unincorporated
74,2013,2/20/13,2013-02-20T11:40:00Z,Wednesday,BLANCO RD,COOPER RD,E,N,NA,NA,3,0,2,A,3,C,C,A,H,A,N,N,N,N,N,0,2,0,0,0,0,0,0,0,SALINAS,-121.7333128,36.6786639,"c(-121.7333128, 36.6786639)",Other Unincorporated
75,2013,2/22/13,2013-02-22T16:18:00Z,Friday,101,RT 101,W,N,101,I,4,0,1,A,8,E,I,A,D,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6691651,36.7715319,"c(-121.6691651, 36.7715319)",Other Unincorporated
76,2013,2/24/13,2013-02-24T14:30:00Z,Sunday,1,FREMONT BL,N,N,1,H,4,0,1,A,4,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SEASIDE,-121.8392264,36.6263272,"c(-121.8392264, 36.6263272)",Seaside
77,2013,2/19/13,2013-02-19T12:05:00Z,Tuesday,101,MARKET ST,N,N,101,R,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6424429,36.6804649,"c(-121.6424429, 36.6804649)",Salinas
78,2013,2/19/13,2013-02-19T16:50:00Z,Tuesday,LAURELES GRADE RD,SOUTHVIEW RD,S,N,NA,NA,4,0,1,A,8,E,I,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,CARMEL VALLEY,-121.7571238,36.5222958,"c(-121.7571238, 36.5222958)",Carmel Valley
79,2013,2/23/13,2013-02-23T03:14:00Z,Saturday,101,MORISOLI RD,N,N,101,R,3,0,1,A,1,E,I,A,H,D,N,N,N,N,Y,0,1,0,0,0,0,0,0,0,SOLEDAD,-121.3211728,36.4147349,"c(-121.3211728, 36.4147349)",Other Unincorporated
80,2013,2/14/13,2013-02-14T07:50:00Z,Thursday,METZ RD,ELM AV,S,N,NA,NA,4,0,1,A,8,A,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,KING CITY,-121.1995408,36.3402497,"c(-121.1995408, 36.3402497)",Other Unincorporated
81,2013,2/3/13,2013-02-03T00:30:00Z,Sunday,198,GRIFFIN RD,W,N,198,H,3,0,1,A,1,E,I,A,H,D,N,N,N,N,Y,0,1,0,0,0,0,0,0,0,KING CITY,-120.7381709,36.1988677,"c(-120.7381709, 36.1988677)",Other Unincorporated
82,2013,1/25/13,2013-01-25T09:47:00Z,Friday,EAST ALISAL ST,FRONT ST,NA,Y,NA,NA,4,0,2,A,4,C,C,A,H,A,N,N,N,N,N,0,0,2,0,0,0,0,0,0,SALINAS,-121.6493429,36.674615,"c(-121.6493429, 36.674615)",Salinas
83,2013,3/7/13,2013-03-07T07:30:00Z,Thursday,SAN MIGUEL CANYON RD,PRUNEDALE NORTH RD,N,N,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.665909,36.8016795,"c(-121.665909, 36.8016795)",Other Unincorporated
84,2013,3/8/13,2013-03-08T05:27:00Z,Friday,101,ECHO VALLEY RD,N,N,101,H,4,0,2,A,7,B,C,A,D,D,N,N,N,N,N,0,0,2,0,0,0,0,0,0,SALINAS,-121.6290847,36.8296688,"c(-121.6290847, 36.8296688)",Other Unincorporated
85,2013,2/1/13,2013-02-01T16:30:00Z,Friday,1,LITTLE SUR RIVER,N,N,1,H,4,0,1,A,5,B,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,CARMEL,-121.8870029,36.3343449,"c(-121.8870029, 36.3343449)",Other Unincorporated
86,2013,1/17/13,2013-01-17T14:20:00Z,Thursday,183,CLARK ST,E,N,183,H,4,0,1,A,1,C,C,A,H,A,N,N,N,N,Y,0,0,1,0,0,0,0,0,0,SALINAS,-121.6716129,36.6835949,"c(-121.6716129, 36.6835949)",Salinas
87,2013,1/11/13,2013-01-11T07:29:00Z,Friday,EAST ROMIE LN,CALIFORNIA ST,W,N,NA,NA,3,0,1,A,8,D,G,A,H,NA,N,Y,N,N,Y,0,1,0,0,0,0,1,0,0,SALINAS,-121.6536383,36.6615815,"c(-121.6536383, 36.6615815)",Salinas
88,2013,1/7/13,2013-01-07T19:19:00Z,Monday,101,ESPINOSA RD,N,N,101,H,3,0,1,A,8,F,A,A,D,D,N,N,Y,N,N,0,1,0,0,0,0,0,0,1,SALINAS,-121.6581901,36.738198,"c(-121.6581901, 36.738198)",Other Unincorporated
89,2013,2/11/13,2013-02-11T11:10:00Z,Monday,1,IRIS CANYON RD,S,N,1,H,4,0,1,A,8,E,I,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8922168,36.5830765,"c(-121.8922168, 36.5830765)",Monterey
90,2013,1/31/13,2013-01-31T21:35:00Z,Thursday,FREEDOM PKY,COUGAR DR,NA,Y,NA,NA,3,0,2,A,9,D,C,A,H,C,N,N,N,N,N,0,1,1,0,0,0,0,0,0,SALINAS,-121.5981729,36.6871249,"c(-121.5981729, 36.6871249)",Salinas
